country,year,mean,se
LIT,1947,3.867199230391786,5.386733046155318
LIT,1948,3.693691910757417,5.160124140372919
LIT,1949,3.998590587280023,5.063833220932722
LIT,1950,3.529263821660617,4.693781373512847
LIT,1951,3.5992211505372405,4.569090793652502
LIT,1952,3.547665423459313,4.380906724428673
LIT,1953,3.4743527877239426,3.8948396671940753
LIT,1954,3.189674885575184,3.8860787640126824
LIT,1955,2.893450304576287,3.555156895527165
LIT,1956,2.7185080104663872,3.430958735610908
LIT,1957,2.6910966673284906,3.2220754870562835
LIT,1958,2.466488006157518,2.898744087778252
LIT,1959,2.59622575599236,2.967655076409523
LIT,1960,2.4091238070100385,2.879089191051032
LIT,1961,2.2083726072587244,2.7463920416014656
LIT,1962,2.0003076002213005,2.7191424222726392
LIT,1963,2.0964119851164686,2.9862841889729683
LIT,1964,2.207602858681353,2.8316589781374346
LIT,1965,2.020197600373718,3.0450681450534978
LIT,1966,2.6143366018998933,3.3363212761362693
LIT,1967,2.459936894831648,3.0960506945039934
LIT,1968,2.3262476314547595,3.229369278729417
LIT,1969,2.0529465868461574,3.5730881624951047
LIT,1970,1.8617135345318152,3.48722413310501
LIT,1971,1.772745356530433,3.9249207780308586
LIT,1972,1.4150050917175738,4.327966134027789
LIT,1973,1.3914459958241738,4.3287585766437795
LIT,1974,0.9885457057379604,4.436944621639801
LIT,1975,1.271147757656052,4.164152424038145
LIT,1976,1.495797710988358,4.001870184135896
LIT,1977,1.7631172521989824,4.223549672750275
LIT,1978,2.210146517077317,4.332752791797399
LIT,1979,2.8113651245158877,4.6769669252925095
LIT,1980,2.8349671421935754,5.043313274547377
LIT,1981,3.224320595236613,5.257352834238334
LIT,1982,3.0914348877211473,5.237602403022845
LIT,1983,2.9174130306588593,5.066169399560654
LIT,1984,2.4199505822017855,4.7134333441654865
LIT,1985,2.540772488459342,4.743945193113661
LIT,1986,1.9871965068770168,4.3192532346374115
LIT,1987,1.6785714427562777,3.9829410781291608
LIT,1988,1.5557658295051917,3.416892766188047
LIT,1989,1.7600288861058653,2.714369309824091
LIT,1990,1.819300806039669,1.971957957419971
LIT,1991,1.4712596246767393,1.098430037928257
LIT,1992,3.4143648504213813,1.3010713752427912
LIT,1993,4.627141321313775,1.5849811039904045
LIT,1994,5.392232630250925,1.936035329509398
LIT,1995,6.057160708050938,2.24325114669202
LIT,1996,6.981059515045761,2.216552272049176
LIT,1997,7.127536171729339,2.5309110050012156
LIT,1998,8.036017723009438,2.6014022152101526
LIT,1999,8.186211002105358,2.420340229205015
LIT,2000,8.555983289985756,2.8530207000246466
LIT,2001,9.221700286146202,2.65135971086475
LIT,2002,9.570691659402211,3.069167354599047
LIT,2003,9.995780120890569,3.011814403304579
LIT,2004,10.291544270776237,3.5789215440460547
LIT,2005,10.60834949333667,3.357702678198202
LIT,2006,11.024525319493439,3.372830702579281
LIT,2007,11.406855004111494,2.985604416187208
LIT,2008,11.835617661458805,3.098323408864525
LIT,2009,12.178059830585125,3.335084519174599
LIT,2010,12.240836211846709,4.093040473032681
LIT,2011,12.683210149321388,4.23983333886988
LIT,2012,12.670993096201803,4.513470740867861
LIT,2013,13.072478940240279,5.155174228731497
MAA,1945,-6.923475840712768,3.6004018683739245
MAA,1946,-7.392556825980144,3.5309549055143696
MAA,1947,-7.415715913616782,3.243139410849655
MAA,1948,-7.74141747473506,3.0781317716876604
MAA,1949,-8.23879544855176,2.6050088310558848
MAA,1950,-8.674539425801864,2.539878567073358
MAA,1951,-9.00502444934728,2.538246628720632
MAA,1952,-9.23349669280333,2.5931000305082605
MAA,1953,-9.950093027585625,2.8602480763616596
MAA,1954,-10.19378754595689,2.91386296935847
MAA,1955,-10.125017622723089,3.223107792944816
MAA,1956,-10.318203989542369,3.2514209883905703
MAA,1957,-10.595115994550174,3.4129392936208034
MAA,1958,-10.696401904409793,3.5857470906876636
MAA,1959,-10.472171976397531,3.3449628372780675
MAA,1960,-10.507911962001447,3.155109563662039
MAA,1961,-10.327329928270597,3.21008627384695
MAA,1962,-10.556788415115621,3.2891645605012667
MAA,1963,-10.217996238499508,3.3772564326098937
MAA,1964,-10.362581518058803,3.319836460866618
MAA,1965,-9.869308249288421,3.167189391616786
MAA,1966,-9.606832647689684,2.9554051442027887
MAA,1967,-9.683299696594034,2.7862842175619327
MAA,1968,-9.650669089557098,2.8115676405976955
MAA,1969,-9.792531460156635,2.9247439290939212
MAA,1970,-9.88693683742143,2.4735817414931147
MAA,1971,-9.759554763932055,2.3836340727415304
MAA,1972,-9.911488714004694,2.238100182940687
MAA,1973,-10.064129910719709,2.2818936262494236
MAA,1974,-10.434661657636907,2.4324121197602215
MAA,1975,-10.54915481349472,2.4049921415377793
MAA,1976,-10.627273678970106,2.896577786133768
MAA,1977,-10.417960471092801,2.9766771363030218
MAA,1978,-10.605787925314608,3.1775556059594914
MAA,1979,-10.6101085195753,3.338905319601587
MAA,1980,-10.366411393468985,3.1320763743079523
MAA,1981,-10.356744449553453,3.3465268608780656
MAA,1982,-10.209712290960269,3.002572129807274
MAA,1983,-10.530517053173744,3.1194174053221415
MAA,1984,-10.647572016445988,3.2776542237308917
